Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.302941; 0.695650; 0.696171; 0.697059; 0.694958; 0.695367
2.000000; 0.302831; 0.696539; 0.696889; 0.697169; 0.695530; 0.696171
3.000000; 0.302626; 0.696908; 0.697059; 0.697374; 0.696000; 0.696772
4.000000; 0.302572; 0.697059; 0.697169; 0.697428; 0.696345; 0.697042
5.000000; 0.302572; 0.697374; 0.697374; 0.697428; 0.696479; 0.697095
6.000000; 0.302081; 0.697428; 0.697444; 0.697919; 0.697055; 0.697300
7.000000; 0.302075; 0.697608; 0.697642; 0.697925; 0.697093; 0.697428
8.000000; 0.301435; 0.697814; 0.697919; 0.698565; 0.697194; 0.697608
9.000000; 0.301435; 0.697919; 0.697993; 0.698565; 0.697433; 0.697919
10.000000; 0.301258; 0.698203; 0.698565; 0.698742; 0.697165; 0.697925
11.000000; 0.301258; 0.698565; 0.698692; 0.698742; 0.696602; 0.698048
12.000000; 0.300925; 0.698692; 0.698742; 0.699075; 0.698052; 0.698692
13.000000; 0.300649; 0.698742; 0.698948; 0.699351; 0.698092; 0.698742
14.000000; 0.300649; 0.699075; 0.699191; 0.699351; 0.697535; 0.698742
15.000000; 0.300381; 0.699305; 0.699351; 0.699619; 0.698585; 0.699075
16.000000; 0.299948; 0.699351; 0.699351; 0.700052; 0.698725; 0.699191
17.000000; 0.299704; 0.699551; 0.699856; 0.700296; 0.698113; 0.699351
18.000000; 0.299704; 0.699830; 0.700052; 0.700296; 0.699075; 0.699551
19.000000; 0.299703; 0.700052; 0.700296; 0.700297; 0.698433; 0.699856
20.000000; 0.299458; 0.700296; 0.700296; 0.700542; 0.698491; 0.700052
21.000000; 0.299458; 0.700296; 0.700297; 0.700542; 0.698697; 0.700296
22.000000; 0.298899; 0.700542; 0.700542; 0.701101; 0.698308; 0.700297
23.000000; 0.298899; 0.700542; 0.700542; 0.701101; 0.697965; 0.700542
24.000000; 0.298737; 0.700542; 0.701101; 0.701263; 0.699566; 0.700542
25.000000; 0.298058; 0.701101; 0.701101; 0.701942; 0.698381; 0.700575
26.000000; 0.298058; 0.701101; 0.701263; 0.701942; 0.698929; 0.700997
27.000000; 0.298058; 0.701681; 0.701942; 0.701942; 0.700922; 0.701263
28.000000; 0.298058; 0.701942; 0.701942; 0.701942; 0.700342; 0.701942
29.000000; 0.298058; 0.701942; 0.701942; 0.701942; 0.700564; 0.701942
30.000000; 0.296462; 0.701942; 0.701942; 0.703538; 0.699428; 0.701942
31.000000; 0.296462; 0.701942; 0.701942; 0.703538; 0.700418; 0.701942
32.000000; 0.296462; 0.701942; 0.703538; 0.703538; 0.700134; 0.701942
33.000000; 0.296462; 0.703538; 0.703538; 0.703538; 0.698910; 0.703538
34.000000; 0.293540; 0.703538; 0.703538; 0.706460; 0.699954; 0.703538
35.000000; 0.293540; 0.703538; 0.703538; 0.706460; 0.698899; 0.703538
36.000000; 0.293540; 0.703538; 0.706460; 0.706460; 0.700528; 0.703538
37.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.700072; 0.703538
38.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.701957; 0.706460
39.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.701853; 0.706460
40.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.702142; 0.706460
41.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.699248; 0.706460
42.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.700059; 0.706460
43.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.701557; 0.706460
44.000000; 0.293540; 0.706460; 0.706460; 0.706460; 0.699957; 0.706460
45.000000; 0.291540; 0.706460; 0.706460; 0.708460; 0.700847; 0.706460
46.000000; 0.291540; 0.706460; 0.706460; 0.708460; 0.700891; 0.706460
47.000000; 0.291540; 0.706460; 0.708460; 0.708460; 0.701761; 0.706460
48.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.703965; 0.708460
49.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701951; 0.708460
50.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.699634; 0.708460
51.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.698647; 0.708460
52.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.699555; 0.708460
53.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.702539; 0.708460
54.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700042; 0.708460
55.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700635; 0.708460
56.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701954; 0.708460
57.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.702312; 0.708460
58.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.702665; 0.708460
59.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701821; 0.708460
60.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.702195; 0.708460
61.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700927; 0.708460
62.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700312; 0.708460
63.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.703314; 0.708460
64.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701952; 0.708460
65.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.698868; 0.708460
66.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700658; 0.708460
67.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700592; 0.708460
68.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.000000; 0.708460
69.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700954; 0.708460
70.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.702035; 0.708460
71.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700771; 0.708460
72.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701117; 0.708460
73.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701758; 0.708460
74.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701356; 0.708460
75.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.699942; 0.708460
76.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.701419; 0.708460
77.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.700790; 0.708460
78.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.702869; 0.708460
79.000000; 0.291540; 0.708460; 0.708460; 0.708460; 0.000000; 0.708460
