Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.334083; 0.664978; 0.665239; 0.665917; 0.664208; 0.664549
2.000000; 0.334031; 0.665443; 0.665632; 0.665969; 0.664707; 0.665239
3.000000; 0.333673; 0.665685; 0.665961; 0.666327; 0.665235; 0.665513
4.000000; 0.333118; 0.665915; 0.666185; 0.666882; 0.665393; 0.665700
5.000000; 0.333022; 0.666327; 0.666606; 0.666978; 0.665719; 0.666185
6.000000; 0.332861; 0.666598; 0.666882; 0.667139; 0.665829; 0.666420
7.000000; 0.332773; 0.666978; 0.667054; 0.667227; 0.666125; 0.666770
8.000000; 0.332405; 0.667054; 0.667139; 0.667595; 0.666527; 0.666998
9.000000; 0.332268; 0.667139; 0.667227; 0.667732; 0.666570; 0.666764
10.000000; 0.332268; 0.667467; 0.667541; 0.667732; 0.666107; 0.667121
11.000000; 0.332122; 0.667541; 0.667732; 0.667878; 0.666404; 0.667433
12.000000; 0.331765; 0.667732; 0.667785; 0.668235; 0.667102; 0.667482
13.000000; 0.331765; 0.667857; 0.668235; 0.668235; 0.667160; 0.667785
14.000000; 0.331765; 0.668235; 0.668235; 0.668235; 0.666567; 0.667878
15.000000; 0.331765; 0.668235; 0.668235; 0.668235; 0.666550; 0.668235
16.000000; 0.331765; 0.668235; 0.668235; 0.668235; 0.667331; 0.668235
17.000000; 0.331666; 0.668235; 0.668235; 0.668334; 0.666495; 0.668235
18.000000; 0.331666; 0.668235; 0.668334; 0.668334; 0.667331; 0.668235
19.000000; 0.331666; 0.668334; 0.668334; 0.668334; 0.667042; 0.668235
20.000000; 0.331666; 0.668334; 0.668334; 0.668334; 0.667297; 0.668334
21.000000; 0.331666; 0.668334; 0.668334; 0.668334; 0.666685; 0.668334
22.000000; 0.331666; 0.668334; 0.668334; 0.668334; 0.666825; 0.668334
23.000000; 0.331666; 0.668334; 0.668334; 0.668334; 0.667033; 0.668334
24.000000; 0.331191; 0.668334; 0.668334; 0.668809; 0.667240; 0.668334
25.000000; 0.329995; 0.668334; 0.668334; 0.670005; 0.668066; 0.668334
26.000000; 0.329995; 0.668334; 0.668809; 0.670005; 0.666899; 0.668334
27.000000; 0.329995; 0.668835; 0.670005; 0.670005; 0.667700; 0.668809
28.000000; 0.329781; 0.670005; 0.670005; 0.670219; 0.668334; 0.670005
29.000000; 0.329781; 0.670005; 0.670005; 0.670219; 0.667321; 0.670005
30.000000; 0.329781; 0.670005; 0.670219; 0.670219; 0.667585; 0.670005
31.000000; 0.329781; 0.670219; 0.670219; 0.670219; 0.668157; 0.670005
32.000000; 0.329781; 0.670219; 0.670219; 0.670219; 0.668039; 0.670219
33.000000; 0.329781; 0.670219; 0.670219; 0.670219; 0.668473; 0.670219
34.000000; 0.328713; 0.670219; 0.670219; 0.671287; 0.668617; 0.670219
35.000000; 0.328713; 0.670219; 0.670219; 0.671287; 0.668950; 0.670219
36.000000; 0.328627; 0.670219; 0.671287; 0.671373; 0.667797; 0.670219
37.000000; 0.328627; 0.671287; 0.671287; 0.671373; 0.668193; 0.670219
38.000000; 0.328627; 0.671287; 0.671373; 0.671373; 0.669331; 0.671287
39.000000; 0.327609; 0.671373; 0.671373; 0.672391; 0.668637; 0.671287
40.000000; 0.327609; 0.671373; 0.671373; 0.672391; 0.669834; 0.671373
41.000000; 0.327609; 0.672391; 0.672391; 0.672391; 0.669787; 0.671373
42.000000; 0.327609; 0.672391; 0.672391; 0.672391; 0.669422; 0.672391
43.000000; 0.324184; 0.672391; 0.672391; 0.675816; 0.669324; 0.672391
44.000000; 0.324184; 0.672391; 0.672391; 0.675816; 0.669699; 0.672391
45.000000; 0.324184; 0.672391; 0.675816; 0.675816; 0.669946; 0.672391
46.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.671402; 0.672391
47.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.670757; 0.675816
48.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.000000; 0.675816
49.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.669524; 0.675816
50.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.668429; 0.675816
51.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.670013; 0.675816
52.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.670891; 0.675816
53.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.672227; 0.675816
54.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.671454; 0.675816
55.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.671648; 0.675816
56.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.671536; 0.675816
57.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.669890; 0.675816
58.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.668742; 0.675816
59.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.669025; 0.675816
60.000000; 0.324184; 0.675816; 0.675816; 0.675816; 0.670061; 0.675816
61.000000; 0.321954; 0.675816; 0.675816; 0.678046; 0.671741; 0.675816
62.000000; 0.321954; 0.675816; 0.675816; 0.678046; 0.000000; 0.675816
63.000000; 0.321954; 0.675816; 0.678046; 0.678046; 0.000000; 0.675816
64.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670293; 0.678046
65.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670019; 0.678046
66.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.671924; 0.678046
67.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.000000; 0.678046
68.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.668871; 0.678046
69.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670178; 0.678046
70.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670879; 0.678046
71.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670022; 0.678046
72.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.672211; 0.678046
73.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.669214; 0.678046
74.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.669869; 0.678046
75.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670152; 0.678046
76.000000; 0.321954; 0.678046; 0.678046; 0.678046; 0.670077; 0.678046
