Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
375,749201; 0,320557; 0,679443; 0,679443; 0,679443; 0,637717; 0,679443; 0,376243; 0,982643
399,162415; 0,320557; 0,679443; 0,679443; 0,679443; 0,640216; 0,679443; 0,376243; 0,982643
287,096498; 0,351296; 0,648704; 0,648704; 0,648704; 0,640028; 0,648704; 0,452729; 0,844679
308,989196; 0,320557; 0,679443; 0,679443; 0,679443; 0,640069; 0,679443; 0,376243; 0,982643
446,667830; 0,320557; 0,679443; 0,679443; 0,679443; 0,642817; 0,679443; 0,376243; 0,982643
304,993350; 0,351296; 0,648704; 0,648704; 0,648704; 0,641142; 0,648704; 0,452729; 0,844679
290,786412; 0,351383; 0,648617; 0,648617; 0,648617; 0,639310; 0,648617; 0,452989; 0,844245
444,952184; 0,320557; 0,679443; 0,679443; 0,679443; 0,638000; 0,679443; 0,376243; 0,982643
308,693328; 0,351296; 0,648704; 0,648704; 0,648704; 0,645354; 0,648704; 0,452729; 0,844679
298,012545; 0,351296; 0,648704; 0,648704; 0,648704; 0,640087; 0,648704; 0,452729; 0,844679
