Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.365067; 0.632938; 0.633501; 0.634933; 0.631656; 0.632683
2.000000; 0.363687; 0.633692; 0.634854; 0.636313; 0.632263; 0.633129
3.000000; 0.363687; 0.634793; 0.635185; 0.636313; 0.633145; 0.634179
4.000000; 0.363687; 0.635316; 0.635559; 0.636313; 0.633660; 0.634971
5.000000; 0.363403; 0.635681; 0.636061; 0.636597; 0.633654; 0.635328
6.000000; 0.362017; 0.636325; 0.636564; 0.637983; 0.635410; 0.636032
7.000000; 0.361739; 0.636630; 0.636962; 0.638261; 0.636011; 0.636546
8.000000; 0.361735; 0.637019; 0.637983; 0.638265; 0.635145; 0.636622
9.000000; 0.361324; 0.638190; 0.638261; 0.638676; 0.636937; 0.637983
10.000000; 0.360128; 0.638265; 0.638525; 0.639872; 0.633503; 0.638120
11.000000; 0.360128; 0.638663; 0.638676; 0.639872; 0.636864; 0.638265
12.000000; 0.359377; 0.638873; 0.639872; 0.640623; 0.636968; 0.638663
13.000000; 0.359298; 0.639872; 0.639910; 0.640702; 0.637442; 0.639305
14.000000; 0.357860; 0.640533; 0.640623; 0.642140; 0.635917; 0.639872
15.000000; 0.357860; 0.640659; 0.641623; 0.642140; 0.635684; 0.640623
16.000000; 0.357860; 0.641635; 0.642112; 0.642140; 0.638506; 0.641097
17.000000; 0.356713; 0.642137; 0.642140; 0.643287; 0.637325; 0.641650
18.000000; 0.356713; 0.642140; 0.643287; 0.643287; 0.635841; 0.642140
19.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.636840; 0.643287
20.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.636888; 0.643287
21.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.640706; 0.643287
22.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.639287; 0.643287
23.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.637715; 0.643287
24.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.639825; 0.643287
25.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.636892; 0.643287
26.000000; 0.356713; 0.643287; 0.643287; 0.643287; 0.638310; 0.643287
27.000000; 0.356692; 0.643287; 0.643287; 0.643308; 0.640221; 0.643287
28.000000; 0.355972; 0.643287; 0.643287; 0.644028; 0.640166; 0.643287
29.000000; 0.355294; 0.643287; 0.643567; 0.644706; 0.642134; 0.643287
30.000000; 0.353959; 0.644028; 0.644706; 0.646041; 0.636762; 0.643308
31.000000; 0.353692; 0.644706; 0.645160; 0.646308; 0.637135; 0.644028
32.000000; 0.353102; 0.645416; 0.646041; 0.646898; 0.637171; 0.644706
33.000000; 0.353102; 0.646041; 0.646308; 0.646898; 0.638795; 0.646041
34.000000; 0.352477; 0.646898; 0.646898; 0.647523; 0.642777; 0.646308
35.000000; 0.352477; 0.646898; 0.647523; 0.647523; 0.638517; 0.646827
36.000000; 0.352477; 0.647523; 0.647523; 0.647523; 0.638439; 0.646898
37.000000; 0.352477; 0.647523; 0.647523; 0.647523; 0.640584; 0.647523
38.000000; 0.352477; 0.647523; 0.647523; 0.647523; 0.640734; 0.647523
39.000000; 0.351806; 0.647523; 0.647523; 0.648194; 0.639537; 0.647523
40.000000; 0.351806; 0.647523; 0.647523; 0.648194; 0.642720; 0.647523
41.000000; 0.351806; 0.648003; 0.648194; 0.648194; 0.643569; 0.647523
42.000000; 0.351806; 0.648194; 0.648194; 0.648194; 0.641925; 0.648194
43.000000; 0.351806; 0.648194; 0.648194; 0.648194; 0.645104; 0.648194
44.000000; 0.351806; 0.648194; 0.648194; 0.648194; 0.640945; 0.648194
45.000000; 0.351296; 0.648194; 0.648194; 0.648704; 0.639513; 0.648194
46.000000; 0.351296; 0.648194; 0.648194; 0.648704; 0.643457; 0.648194
47.000000; 0.351296; 0.648194; 0.648206; 0.648704; 0.644154; 0.648194
48.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.643100; 0.648194
49.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642764; 0.648704
50.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641293; 0.648704
51.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640296; 0.648704
52.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641295; 0.648704
53.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642966; 0.648704
54.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641293; 0.648704
55.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642512; 0.648704
56.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640095; 0.648704
57.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638690; 0.648704
58.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639080; 0.648704
59.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641293; 0.648704
60.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641104; 0.648704
61.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638686; 0.648704
62.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639694; 0.648704
63.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641428; 0.648704
64.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638236; 0.648704
65.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641523; 0.648704
66.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639135; 0.648704
67.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.645982; 0.648704
68.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641293; 0.648704
69.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.636501; 0.648704
70.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638584; 0.648704
71.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641142; 0.648704
72.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640016; 0.648704
73.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641043; 0.648704
74.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642091; 0.648704
75.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.644066; 0.648704
76.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640895; 0.648704
77.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639958; 0.648704
78.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639490; 0.648704
79.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.643660; 0.648704
80.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642825; 0.648704
81.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640863; 0.648704
82.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640958; 0.648704
83.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641587; 0.648704
84.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639773; 0.648704
85.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.641445; 0.648704
86.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639721; 0.648704
87.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642883; 0.648704
88.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640028; 0.648704
89.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.636844; 0.648704
90.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638178; 0.648704
91.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640412; 0.648704
92.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638760; 0.648704
93.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639751; 0.648704
94.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638855; 0.648704
95.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642825; 0.648704
96.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642757; 0.648704
97.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640370; 0.648704
98.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642371; 0.648704
99.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.635218; 0.648704
100.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638674; 0.648704
101.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639948; 0.648704
102.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638491; 0.648704
103.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642825; 0.648704
104.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642473; 0.648704
105.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638990; 0.648704
106.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639472; 0.648704
107.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.643426; 0.648704
108.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.647843; 0.648704
109.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.637438; 0.648704
110.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642757; 0.648704
111.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638674; 0.648704
112.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.643989; 0.648704
113.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.640067; 0.648704
114.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638227; 0.648704
115.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.642757; 0.648704
116.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.639490; 0.648704
117.000000; 0.351296; 0.648704; 0.648704; 0.648704; 0.638419; 0.648704
