Imagen; fitness; tiempo
MPX1012_synpic22949,png; 0,754310; 4015,581054
MPX1013_synpic34890,png; 0,641324; 3630,915009
MPX1014_synpic41745,png; 0,667144; 4533,954894
MPX1016_synpic34324,png; 0,837853; 5381,483318
MPX1022_synpic17320,png; 0,820021; 5286,186980
MPX1051_synpic11770,png; 0,799317; 3808,902951
MPX1063_synpic22169,png; 0,705826; 3217,251045
MPX1067_synpic17015,png; 0,664562; 4535,574135
MPX1129_synpic31042,png; 0,643914; 5067,520325
MPX1139_synpic18559,png; 0,706016; 3564,124563
MPX1141_synpic60793,png; 0,685533; 4501,269236
MPX1567_synpic54203,png; 0,698161; 3505,811630
MPX1830_synpic24370,png; 0,664065; 3465,156918
