Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.348480; 0.649522; 0.649918; 0.651520; 0.648540; 0.649171
2.000000; 0.347915; 0.650167; 0.650230; 0.652085; 0.648996; 0.649791
3.000000; 0.347522; 0.651143; 0.651476; 0.652478; 0.649857; 0.650666
4.000000; 0.347217; 0.651520; 0.652085; 0.652783; 0.650777; 0.651337
5.000000; 0.347122; 0.652085; 0.652478; 0.652878; 0.651203; 0.652060
6.000000; 0.346973; 0.652783; 0.652783; 0.653027; 0.651755; 0.652262
7.000000; 0.346320; 0.652878; 0.653027; 0.653680; 0.651909; 0.652783
8.000000; 0.346191; 0.653027; 0.653468; 0.653809; 0.650344; 0.652878
9.000000; 0.346121; 0.653574; 0.653809; 0.653879; 0.652402; 0.653118
10.000000; 0.346056; 0.653809; 0.653809; 0.653944; 0.652459; 0.653680
11.000000; 0.345890; 0.653809; 0.653879; 0.654110; 0.651915; 0.653809
12.000000; 0.345890; 0.653912; 0.654110; 0.654110; 0.653212; 0.653809
13.000000; 0.345890; 0.654110; 0.654110; 0.654110; 0.651831; 0.653944
14.000000; 0.345890; 0.654110; 0.654110; 0.654110; 0.651495; 0.653897
15.000000; 0.345890; 0.654110; 0.654110; 0.654110; 0.652531; 0.654110
16.000000; 0.345890; 0.654110; 0.654110; 0.654110; 0.652734; 0.654110
17.000000; 0.345576; 0.654110; 0.654110; 0.654424; 0.652821; 0.654110
18.000000; 0.345576; 0.654110; 0.654110; 0.654424; 0.652101; 0.654110
19.000000; 0.345511; 0.654424; 0.654424; 0.654489; 0.652442; 0.654110
20.000000; 0.345511; 0.654424; 0.654424; 0.654489; 0.652919; 0.654424
21.000000; 0.344273; 0.654424; 0.654489; 0.655727; 0.653636; 0.654424
22.000000; 0.344273; 0.654489; 0.655727; 0.655727; 0.652545; 0.654424
23.000000; 0.344273; 0.655727; 0.655727; 0.655727; 0.653110; 0.655727
24.000000; 0.344273; 0.655727; 0.655727; 0.655727; 0.654295; 0.655727
25.000000; 0.344273; 0.655727; 0.655727; 0.655727; 0.653242; 0.655727
26.000000; 0.342942; 0.655727; 0.655727; 0.657058; 0.654217; 0.655727
27.000000; 0.342942; 0.655727; 0.655727; 0.657058; 0.652638; 0.655727
28.000000; 0.342942; 0.656124; 0.657058; 0.657058; 0.652108; 0.655727
29.000000; 0.342942; 0.657058; 0.657058; 0.657058; 0.655108; 0.656233
30.000000; 0.342942; 0.657058; 0.657058; 0.657058; 0.653515; 0.657058
31.000000; 0.342942; 0.657058; 0.657058; 0.657058; 0.653636; 0.657058
