Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
4187.755278; 0.290450; 0.709550; 0.709550; 0.709550; 0.701015; 0.709550; 0.427417; 0.991684
2982.276224; 0.290450; 0.709550; 0.709550; 0.709550; 0.698811; 0.709550; 0.427417; 0.991684
2874.241436; 0.290450; 0.709550; 0.709550; 0.709550; 0.701833; 0.709550; 0.427417; 0.991684
3054.383849; 0.290450; 0.709550; 0.709550; 0.709550; 0.700994; 0.709550; 0.427417; 0.991684
4123.758542; 0.290450; 0.709550; 0.709550; 0.709550; 0.700973; 0.709550; 0.427417; 0.991684
3772.813545; 0.291540; 0.708460; 0.708460; 0.708460; 0.701829; 0.708460; 0.427344; 0.989576
3461.409859; 0.290450; 0.709550; 0.709550; 0.709550; 0.702328; 0.709550; 0.427417; 0.991684
4116.202078; 0.290450; 0.709550; 0.709550; 0.709550; 0.703788; 0.709550; 0.427417; 0.991684
4117.145988; 0.290450; 0.709550; 0.709550; 0.709550; 0.702589; 0.709550; 0.427417; 0.991684
2715.884965; 0.291540; 0.708460; 0.708460; 0.708460; 0.700401; 0.708460; 0.427344; 0.989576
