Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.323571; 0.674099; 0.674946; 0.676429; 0.672896; 0.673696
2.000000; 0.322958; 0.675584; 0.676057; 0.677042; 0.673756; 0.674825
3.000000; 0.322958; 0.676169; 0.676429; 0.677042; 0.674723; 0.675824
4.000000; 0.322534; 0.676887; 0.677042; 0.677466; 0.675520; 0.676429
5.000000; 0.322437; 0.677042; 0.677347; 0.677563; 0.675510; 0.677042
6.000000; 0.321631; 0.677466; 0.677563; 0.678369; 0.675870; 0.676881
7.000000; 0.321631; 0.677653; 0.678135; 0.678369; 0.676336; 0.677298
8.000000; 0.321260; 0.678168; 0.678369; 0.678740; 0.676755; 0.677846
9.000000; 0.319913; 0.678369; 0.678589; 0.680087; 0.676724; 0.678159
10.000000; 0.319913; 0.678961; 0.679371; 0.680087; 0.676797; 0.678369
11.000000; 0.319644; 0.679838; 0.680087; 0.680356; 0.678740; 0.679371
12.000000; 0.318976; 0.680087; 0.680087; 0.681024; 0.677852; 0.679838
13.000000; 0.318167; 0.680339; 0.681024; 0.681833; 0.677710; 0.679838
14.000000; 0.318167; 0.681024; 0.681024; 0.681833; 0.678245; 0.681024
15.000000; 0.318167; 0.681101; 0.681833; 0.681833; 0.679072; 0.681024
16.000000; 0.317793; 0.681833; 0.681833; 0.682207; 0.679989; 0.681833
17.000000; 0.316924; 0.681833; 0.681833; 0.683076; 0.678049; 0.681833
18.000000; 0.316924; 0.681833; 0.682207; 0.683076; 0.679811; 0.681833
19.000000; 0.316924; 0.683076; 0.683076; 0.683076; 0.678915; 0.682207
20.000000; 0.316921; 0.683076; 0.683076; 0.683079; 0.679379; 0.683076
21.000000; 0.314353; 0.683076; 0.683076; 0.685647; 0.680007; 0.683076
22.000000; 0.314353; 0.683079; 0.683079; 0.685647; 0.679454; 0.683076
23.000000; 0.314353; 0.685647; 0.685647; 0.685647; 0.680403; 0.683079
24.000000; 0.314353; 0.685647; 0.685647; 0.685647; 0.680186; 0.685647
25.000000; 0.314353; 0.685647; 0.685647; 0.685647; 0.679456; 0.685647
26.000000; 0.314353; 0.685647; 0.685647; 0.685647; 0.681366; 0.685647
27.000000; 0.314353; 0.685647; 0.685647; 0.685647; 0.679219; 0.685647
28.000000; 0.314353; 0.685647; 0.685647; 0.685647; 0.679988; 0.685647
29.000000; 0.309026; 0.685647; 0.685647; 0.690974; 0.680313; 0.685647
30.000000; 0.309026; 0.685647; 0.686355; 0.690974; 0.682319; 0.685647
31.000000; 0.309026; 0.686355; 0.690974; 0.690974; 0.681446; 0.685647
32.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682201; 0.690974
33.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682664; 0.690974
34.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683010; 0.690974
35.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684996; 0.690974
36.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683085; 0.690974
37.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681173; 0.690974
38.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683116; 0.690974
39.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683355; 0.690974
40.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684525; 0.690974
41.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682106; 0.690974
42.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.680475; 0.690974
43.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.680470; 0.690974
44.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682197; 0.690974
45.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.000000; 0.690974
46.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682881; 0.690974
47.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.685310; 0.690974
48.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682748; 0.690974
49.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683085; 0.690974
50.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.680288; 0.690974
51.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684990; 0.690974
52.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.680918; 0.690974
53.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682283; 0.690974
54.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683889; 0.690974
55.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682538; 0.690974
56.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684525; 0.690974
57.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681740; 0.690974
58.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682808; 0.690974
59.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682900; 0.690974
60.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682333; 0.690974
61.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683172; 0.690974
62.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.000000; 0.690974
63.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682202; 0.690974
64.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684857; 0.690974
65.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684452; 0.690974
66.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.678929; 0.690974
67.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.679986; 0.690974
68.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.679946; 0.690974
69.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682113; 0.690974
70.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.680857; 0.690974
71.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684316; 0.690974
72.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683377; 0.690974
73.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684675; 0.690974
74.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.000000; 0.690974
75.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681614; 0.690974
76.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682403; 0.690974
77.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684675; 0.690974
78.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683785; 0.690974
79.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684990; 0.690974
80.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682741; 0.690974
81.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.679264; 0.690974
82.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684321; 0.690974
83.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682774; 0.690974
84.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681021; 0.690974
85.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682830; 0.690974
86.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.679443; 0.690974
87.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682065; 0.690974
88.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682381; 0.690974
89.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684996; 0.690974
90.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681797; 0.690974
91.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682229; 0.690974
92.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681872; 0.690974
93.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.684597; 0.690974
94.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.000000; 0.690974
95.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681377; 0.690974
96.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683260; 0.690974
97.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681524; 0.690974
98.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682448; 0.690974
99.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.000000; 0.690974
100.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681582; 0.690974
101.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.680767; 0.690974
102.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.685781; 0.690974
103.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682895; 0.690974
104.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682257; 0.690974
105.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682259; 0.690974
106.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682533; 0.690974
107.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.679486; 0.690974
108.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681331; 0.690974
109.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.683833; 0.690974
110.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.681949; 0.690974
111.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.682207; 0.690974
112.000000; 0.309026; 0.690974; 0.690974; 0.690974; 0.000000; 0.690974
