Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
2695.107237; 0.323116; 0.676884; 0.676884; 0.676884; 0.669358; 0.676884; 0.364735; 0.989032
3207.542691; 0.321954; 0.678046; 0.678046; 0.678046; 0.669878; 0.678046; 0.365270; 0.990821
4113.630657; 0.324169; 0.675831; 0.675831; 0.675831; 0.669417; 0.675831; 0.365448; 0.986214
3018.148582; 0.323116; 0.676884; 0.676884; 0.676884; 0.672073; 0.676884; 0.364735; 0.989032
2723.160592; 0.321954; 0.678046; 0.678046; 0.678046; 0.670882; 0.678046; 0.365270; 0.990821
4115.013812; 0.321954; 0.678046; 0.678046; 0.678046; 0.669863; 0.678046; 0.365270; 0.990821
2606.712101; 0.321954; 0.678046; 0.678046; 0.678046; 0.671443; 0.678046; 0.365270; 0.990821
4115.890746; 0.321954; 0.678046; 0.678046; 0.678046; 0.670280; 0.678046; 0.365270; 0.990821
4114.622354; 0.321954; 0.678046; 0.678046; 0.678046; 0.673410; 0.678046; 0.365270; 0.990821
2858.073487; 0.321954; 0.678046; 0.678046; 0.678046; 0.670559; 0.678046; 0.365270; 0.990821
