Tiempo; best; promedio; cuartil3; max; min; quartil1;c ;ssim
644.150336; 0.179465; 0.820535; 0.820535; 0.820535; 0.804634; 0.820535; 0.654286; 0.986785
573.704916; 0.179465; 0.820535; 0.820535; 0.820535; 0.805644; 0.820535; 0.654286; 0.986785
459.247135; 0.179465; 0.820535; 0.820535; 0.820535; 0.810428; 0.820535; 0.654286; 0.986785
421.732615; 0.179465; 0.820535; 0.820535; 0.820535; 0.804876; 0.820535; 0.654286; 0.986785
411.355585; 0.179465; 0.820535; 0.820535; 0.820535; 0.807434; 0.820535; 0.654286; 0.986785
595.214321; 0.182161; 0.817839; 0.817839; 0.817839; 0.804555; 0.817839; 0.652828; 0.982849
407.102658; 0.179465; 0.820535; 0.820535; 0.820535; 0.807877; 0.820535; 0.654286; 0.986785
632.771849; 0.179465; 0.820535; 0.820535; 0.820535; 0.803159; 0.820535; 0.654286; 0.986785
641.423485; 0.179465; 0.820535; 0.820535; 0.820535; 0.809659; 0.820535; 0.654286; 0.986785
470.069805; 0.179465; 0.820535; 0.820535; 0.820535; 0.803615; 0.820535; 0.654286; 0.986785
