Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.403782; 0.594913; 0.595664; 0.596218; 0.593618; 0.594715
2.000000; 0.402626; 0.595684; 0.595941; 0.597374; 0.594372; 0.595215
3.000000; 0.402314; 0.596189; 0.596931; 0.597686; 0.594875; 0.595684
4.000000; 0.401113; 0.597038; 0.597374; 0.598887; 0.595322; 0.596342
5.000000; 0.401113; 0.597402; 0.598031; 0.598887; 0.596026; 0.596928
6.000000; 0.400443; 0.598252; 0.598673; 0.599557; 0.595941; 0.597467
7.000000; 0.398868; 0.598809; 0.599000; 0.601132; 0.596346; 0.598328
8.000000; 0.395589; 0.599352; 0.600880; 0.604411; 0.596069; 0.598887
9.000000; 0.395219; 0.601132; 0.604411; 0.604781; 0.598485; 0.600133
10.000000; 0.389816; 0.604411; 0.604411; 0.610184; 0.598908; 0.601772
11.000000; 0.388900; 0.604411; 0.604781; 0.611100; 0.598089; 0.604411
12.000000; 0.388900; 0.607678; 0.610184; 0.611100; 0.599374; 0.604411
13.000000; 0.388900; 0.610184; 0.611100; 0.611100; 0.602820; 0.605490
14.000000; 0.385986; 0.611100; 0.611100; 0.614014; 0.605015; 0.611100
15.000000; 0.385986; 0.611100; 0.611100; 0.614014; 0.598766; 0.611100
16.000000; 0.385986; 0.614014; 0.614014; 0.614014; 0.604713; 0.611100
17.000000; 0.381339; 0.614014; 0.614014; 0.618661; 0.601718; 0.614014
18.000000; 0.381339; 0.614014; 0.614014; 0.618661; 0.603776; 0.614014
19.000000; 0.379945; 0.614014; 0.615177; 0.620055; 0.606264; 0.614014
20.000000; 0.379945; 0.615177; 0.618661; 0.620055; 0.601835; 0.614014
21.000000; 0.379945; 0.618661; 0.618661; 0.620055; 0.604585; 0.615177
22.000000; 0.379945; 0.620055; 0.620055; 0.620055; 0.603749; 0.618661
23.000000; 0.379945; 0.620055; 0.620055; 0.620055; 0.606281; 0.618661
24.000000; 0.379747; 0.620055; 0.620055; 0.620253; 0.603733; 0.620055
25.000000; 0.379747; 0.620055; 0.620055; 0.620253; 0.606039; 0.620055
26.000000; 0.379747; 0.620253; 0.620253; 0.620253; 0.604484; 0.620055
27.000000; 0.378783; 0.620253; 0.620253; 0.621217; 0.604090; 0.620253
28.000000; 0.378783; 0.620253; 0.620253; 0.621217; 0.603288; 0.620253
29.000000; 0.378783; 0.620253; 0.621217; 0.621217; 0.603248; 0.620253
30.000000; 0.377985; 0.621217; 0.621217; 0.622015; 0.603159; 0.621217
31.000000; 0.377985; 0.621217; 0.621217; 0.622015; 0.602783; 0.621217
32.000000; 0.377985; 0.621217; 0.622015; 0.622015; 0.607407; 0.621217
33.000000; 0.377985; 0.622015; 0.622015; 0.622015; 0.600698; 0.622015
34.000000; 0.377985; 0.622015; 0.622015; 0.622015; 0.599711; 0.622015
35.000000; 0.377985; 0.622015; 0.622015; 0.622015; 0.601857; 0.622015
36.000000; 0.377985; 0.622015; 0.622015; 0.622015; 0.607005; 0.622015
37.000000; 0.377985; 0.622015; 0.622015; 0.622015; 0.606224; 0.622015
38.000000; 0.377884; 0.622015; 0.622015; 0.622116; 0.607727; 0.622015
39.000000; 0.377884; 0.622015; 0.622015; 0.622116; 0.602793; 0.622015
40.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.602477; 0.622015
41.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.000000; 0.622116
42.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.605344; 0.622116
43.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.601753; 0.622116
44.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.608019; 0.622116
45.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.609432; 0.622116
46.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.605152; 0.622116
47.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.607993; 0.622116
48.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.608192; 0.622116
49.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.602646; 0.622116
50.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.605262; 0.622116
51.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.608019; 0.622116
52.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.607293; 0.622116
53.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.608310; 0.622116
54.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.604007; 0.622116
55.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.605005; 0.622116
56.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.609944; 0.622116
57.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.604969; 0.622116
58.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.608920; 0.622116
59.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.605527; 0.622116
60.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.601855; 0.622116
61.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.606915; 0.622116
62.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.605298; 0.622116
63.000000; 0.377884; 0.622116; 0.622116; 0.622116; 0.601057; 0.622116
64.000000; 0.369334; 0.622116; 0.622116; 0.630666; 0.608920; 0.622116
65.000000; 0.369334; 0.622116; 0.622116; 0.630666; 0.605359; 0.622116
66.000000; 0.369334; 0.630666; 0.630666; 0.630666; 0.608815; 0.622116
67.000000; 0.369334; 0.630666; 0.630666; 0.630666; 0.604302; 0.630666
68.000000; 0.368718; 0.630666; 0.630666; 0.631282; 0.600775; 0.630666
69.000000; 0.368718; 0.630666; 0.630666; 0.631282; 0.602978; 0.630666
70.000000; 0.368718; 0.630666; 0.631282; 0.631282; 0.605938; 0.630666
71.000000; 0.368718; 0.631282; 0.631282; 0.631282; 0.604769; 0.630666
72.000000; 0.368718; 0.631282; 0.631282; 0.631282; 0.607796; 0.631282
