Generacion; best; promedio; cuartil3; max; min; quartil1
1.000000; 0.272550; 0.727015; 0.727213; 0.727450; 0.726738; 0.726904
2.000000; 0.272177; 0.727263; 0.727339; 0.727823; 0.726999; 0.727119
3.000000; 0.272177; 0.727339; 0.727450; 0.727823; 0.727071; 0.727196
4.000000; 0.272046; 0.727470; 0.727539; 0.727954; 0.727144; 0.727432
5.000000; 0.271726; 0.727675; 0.727823; 0.728274; 0.727144; 0.727468
6.000000; 0.271726; 0.727823; 0.728018; 0.728274; 0.727405; 0.727699
7.000000; 0.271206; 0.728129; 0.728274; 0.728794; 0.727633; 0.728018
8.000000; 0.271206; 0.728274; 0.728274; 0.728794; 0.728075; 0.728274
9.000000; 0.271084; 0.728794; 0.728794; 0.728916; 0.728119; 0.728274
10.000000; 0.270957; 0.728794; 0.728916; 0.729043; 0.727769; 0.728794
11.000000; 0.270864; 0.728916; 0.728967; 0.729136; 0.728370; 0.728794
12.000000; 0.270864; 0.728942; 0.729082; 0.729136; 0.727661; 0.728916
13.000000; 0.270556; 0.729136; 0.729136; 0.729444; 0.728253; 0.728967
14.000000; 0.270556; 0.729136; 0.729136; 0.729444; 0.728011; 0.729086
15.000000; 0.269469; 0.729136; 0.729328; 0.730531; 0.727737; 0.728993
16.000000; 0.269469; 0.729346; 0.729444; 0.730531; 0.728033; 0.729136
17.000000; 0.269469; 0.729515; 0.730253; 0.730531; 0.728269; 0.729328
18.000000; 0.269469; 0.730488; 0.730531; 0.730531; 0.728621; 0.729746
19.000000; 0.269469; 0.730531; 0.730531; 0.730531; 0.728680; 0.730531
20.000000; 0.269469; 0.730531; 0.730531; 0.730531; 0.728897; 0.730531
21.000000; 0.269469; 0.730531; 0.730531; 0.730531; 0.728518; 0.730531
22.000000; 0.269384; 0.730531; 0.730531; 0.730616; 0.728926; 0.730531
23.000000; 0.269384; 0.730531; 0.730616; 0.730616; 0.729049; 0.730531
24.000000; 0.269384; 0.730616; 0.730616; 0.730616; 0.728129; 0.730531
25.000000; 0.269384; 0.730616; 0.730616; 0.730616; 0.728595; 0.730616
26.000000; 0.269384; 0.730616; 0.730616; 0.730616; 0.728289; 0.730616
27.000000; 0.268925; 0.730616; 0.730616; 0.731075; 0.729036; 0.730616
28.000000; 0.268925; 0.730616; 0.730616; 0.731075; 0.728753; 0.730616
29.000000; 0.268925; 0.730741; 0.731075; 0.731075; 0.728957; 0.730616
30.000000; 0.268925; 0.731075; 0.731075; 0.731075; 0.729093; 0.730784
31.000000; 0.268925; 0.731075; 0.731075; 0.731075; 0.729462; 0.731075
32.000000; 0.268925; 0.731075; 0.731075; 0.731075; 0.728816; 0.731075
33.000000; 0.268925; 0.731075; 0.731075; 0.731075; 0.728390; 0.731075
34.000000; 0.268459; 0.731075; 0.731075; 0.731541; 0.728905; 0.731075
35.000000; 0.268459; 0.731075; 0.731075; 0.731541; 0.728953; 0.731075
36.000000; 0.268459; 0.731075; 0.731541; 0.731541; 0.728857; 0.731075
37.000000; 0.268459; 0.731541; 0.731541; 0.731541; 0.729157; 0.731075
38.000000; 0.268459; 0.731541; 0.731541; 0.731541; 0.728970; 0.731541
39.000000; 0.268459; 0.731541; 0.731541; 0.731541; 0.729614; 0.731541
40.000000; 0.268183; 0.731541; 0.731541; 0.731817; 0.728849; 0.731541
41.000000; 0.268183; 0.731541; 0.731541; 0.731817; 0.728997; 0.731541
42.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.728461; 0.731541
43.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.729245; 0.731817
44.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.730123; 0.731817
45.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.729564; 0.731817
46.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.729979; 0.731817
47.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.730001; 0.731817
48.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.728953; 0.731817
49.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.729165; 0.731817
50.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.729265; 0.731817
51.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.730110; 0.731817
52.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.729045; 0.731817
53.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.728852; 0.731817
54.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.728285; 0.731817
55.000000; 0.268183; 0.731817; 0.731817; 0.731817; 0.728810; 0.731817
56.000000; 0.266818; 0.731817; 0.731817; 0.733182; 0.729722; 0.731817
57.000000; 0.266818; 0.731817; 0.731817; 0.733182; 0.728896; 0.731817
58.000000; 0.266818; 0.732500; 0.733182; 0.733182; 0.729203; 0.731817
59.000000; 0.266818; 0.733182; 0.733182; 0.733182; 0.728816; 0.733182
60.000000; 0.266065; 0.733182; 0.733182; 0.733935; 0.730161; 0.733182
61.000000; 0.266065; 0.733182; 0.733182; 0.733935; 0.730774; 0.733182
62.000000; 0.266065; 0.733182; 0.733935; 0.733935; 0.729363; 0.733182
63.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729436; 0.733182
64.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729360; 0.733935
65.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730796; 0.733935
66.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730206; 0.733935
67.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.731407; 0.733935
68.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730767; 0.733935
69.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730755; 0.733935
70.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729875; 0.733935
71.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729869; 0.733935
72.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730846; 0.733935
73.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730105; 0.733935
74.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730714; 0.733935
75.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730753; 0.733935
76.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730714; 0.733935
77.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730457; 0.733935
78.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730672; 0.733935
79.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729274; 0.733935
80.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729575; 0.733935
81.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729793; 0.733935
82.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729414; 0.733935
83.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.731145; 0.733935
84.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729612; 0.733935
85.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730400; 0.733935
86.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730025; 0.733935
87.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730714; 0.733935
88.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729665; 0.733935
89.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730378; 0.733935
90.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.732266; 0.733935
91.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729148; 0.733935
92.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730349; 0.733935
93.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729927; 0.733935
94.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730507; 0.733935
95.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.731646; 0.733935
96.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730819; 0.733935
97.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.728931; 0.733935
98.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730106; 0.733935
99.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730152; 0.733935
100.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.731098; 0.733935
101.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729143; 0.733935
102.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.731244; 0.733935
103.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730787; 0.733935
104.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730131; 0.733935
105.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.731314; 0.733935
106.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730160; 0.733935
107.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729186; 0.733935
108.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729260; 0.733935
109.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730132; 0.733935
110.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730995; 0.733935
111.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729665; 0.733935
112.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729871; 0.733935
113.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729730; 0.733935
114.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730220; 0.733935
115.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729827; 0.733935
116.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730470; 0.733935
117.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729753; 0.733935
118.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730832; 0.733935
119.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.000000; 0.733935
120.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729903; 0.733935
121.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729358; 0.733935
122.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730654; 0.733935
123.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729359; 0.733935
124.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730350; 0.733935
125.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.730756; 0.733935
126.000000; 0.266065; 0.733935; 0.733935; 0.733935; 0.729929; 0.733935
